Hurricane Allison rok: 1995, mesic: Jun, tlak: 987, rychlost: 65
Hurricane Noel rok: 1995, mesic: Sep, tlak: 987, rychlost: 65
Hurricane Marco rok: 1996, mesic: Nov, tlak: 983, rychlost: 65
Hurricane Bill rok: 1997, mesic: Jul, tlak: 986, rychlost: 65
Hurricane Lisa rok: 1998, mesic: Oct, tlak: 995, rychlost: 65
Hurricane Noel rok: 2001, mesic: Nov, tlak: 986, rychlost: 65
Hurricane Danny rok: 2003, mesic: Jul, tlak: 1000, rychlost: 65
Hurricane Erika rok: 2003, mesic: Aug, tlak: 986, rychlost: 65
Hurricane Gaston rok: 2004, mesic: Aug, tlak: 985, rychlost: 65
Hurricane Lisa rok: 2004, mesic: Sep, tlak: 987, rychlost: 65
Hurricane Cindy rok: 2005, mesic: Jul, tlak: 991, rychlost: 65
Hurricane Vince rok: 2005, mesic: Oct, tlak: 988, rychlost: 65
Hurricane Ernesto rok: 2006, mesic: Aug, tlak: 992, rychlost: 65
Hurricane Karen rok: 2007, mesic: Sep, tlak: 988, rychlost: 65
Hurricane Shary rok: 2010, mesic: Oct, tlak: 989, rychlost: 65
Hurricane Nate rok: 2011, mesic: Sep, tlak: 994, rychlost: 65
Hurricane Dolly rok: 1996, mesic: Aug, tlak: 989, rychlost: 70
Hurricane Danny rok: 1997, mesic: Jul, tlak: 984, rychlost: 70
Hurricane Danielle rok: 1998, mesic: Aug, tlak: 960, rychlost: 70
Hurricane Florence rok: 2000, mesic: Sep, tlak: 985, rychlost: 70
Hurricane Gordon rok: 2000, mesic: Sep, tlak: 981, rychlost: 70
Hurricane Gabrielle rok: 2001, mesic: Sep, tlak: 975, rychlost: 70
Hurricane Karen rok: 2001, mesic: Oct, tlak: 982, rychlost: 70
Hurricane Philippe rok: 2005, mesic: Sep, tlak: 985, rychlost: 70
Hurricane Stan rok: 2005, mesic: Oct, tlak: 977, rychlost: 70
Hurricane Lorenzo rok: 2007, mesic: Sep, tlak: 990, rychlost: 70
Hurricane Noel rok: 2007, mesic: Oct, tlak: 980, rychlost: 70
